"iso25010awareness";"maintsatisfaction";"maintsymptoms[1]";"maintsymptoms[2]";"maintsymptoms[3]";"maintsymptoms[4]";"maintsymptoms[5]";"maintsymptoms[6]";"maintsymptoms[7]";"maintsymptoms[8]";"maintsymptoms[9]";"maintsymptoms[10]";"maintsymptoms[11]";"maintsymptoms[12]";"maintsymptoms[13]";"maintsymptoms[other]";"maintsubqas[1]";"maintsubqas[2]";"maintsubqas[3]";"maintsubqas[4]";"maintsubqas[5]";"mainthandling";"mainttools";"maintmetrics";"maintsbsdiff";"maintsbsdiffdetails";"maintsbsdiffreason";"swquality";"productivity";"mainttimeestimation";"role";"years";"appliedtech[SQ001]";"appliedtech[SQ002]";"appliedtech[SQ003]";"appliedtech[SQ004]";"appliedtech[SQ005]";"appliedtech[SQ006]";"employees";"companysector";"companysector[other]";"teamsize"
"I did not hear about it before.";"Yes, somewhat";"No";"No";"No";"Yes";"Yes";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"0";"No";"No";"No";"Yes";"Yes";"We do not address maintainability at all.";"";"";"No";"";"We do not know. We never thought about changing something.";"";"";"Exactly the same";"Software Engineer / Developer";"6-10";"No";"No";"No";"Yes";"Yes";"No";">10000";"Telecommunication";"";"21-50"
"I am familiar with it.";"No, not at all";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No";"Yes";"Yes";"No";"0";"Yes";"No";"No";"Yes";"No";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"SonarQube";"LoC, comment ratio, clone coverage, test coverage, method size, class size";"No";"";"We do not know. We never thought about changing something.";"No, not really";"No, not really";"A lot more";"Software Engineer / Developer";"3-5";"Yes";"Yes";"Yes";"No";"Yes";"No";">10000";"Software & IT Services";"";"6-10"
"I did not hear about it before.";"Yes";"No";"No";"No";"No";"No";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"0";"No";"No";"Yes";"No";"Yes";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"SonarQube";"Don't know.";"Yes, to some degree";"Services are usually broken down into Sub Focus Areas, which each eserving ist own maintainability improements. This leads to a somewhat higher Overall maintainability.";"";"Yes, very much";"Yes, somewhat";"Somewhat more";"Project Manager";"6-10";"Yes";"Yes";"No";"Yes";"No";"No";">10000";"Software & IT Services";"";"6-10"
"I did not hear about it before.";"No, not really";"No";"No";"Yes";"Yes";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"No";"No";"0";"No";"No";"Yes";"Yes";"No";"We do not address maintainability at all.";"";"";"No";"";"We wanted to, but management or the customer did not allow it.";"";"";"Somewhat more";"Software Engineer / Developer";"11-20";"Yes";"Yes";"No";"Yes";"No";"No";">10000";"Software & IT Services";"";"6-10"
"I did not hear about it before.";"No, not really";"Yes";"No";"No";"Yes";"No";"Yes";"No";"No";"Yes";"No";"No";"Yes";"No";"0";"No";"No";"No";"Yes";"Yes";"We explicitly address maintainability in a non-systematic fashion via e.g. tool support and metrics, a quality model, and/or a medium degree of team-wide standardization.";"custom";"not sure";"Yes, to some degree";"not sure";"";"Yes, somewhat";"No, not really";"Somewhat more";"People Manager / Team Lead";"3-5";"No";"Yes";"No";"Yes";"Yes";"No";">10000";"Software & IT Services";"";"21-50"
"I heard about it, but am not really familiar with its details.";"Yes";"No";"Yes";"No";"Yes";"No";"No";"Yes";"Yes";"No";"No";"Yes";"No";"No";"0";"No";"Yes";"No";"Yes";"No";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";" FindBugs
Jardiff";"Coupling metrics";"Yes, to some degree";"Metrics are considered as input to develop maintainability prediction model.";"";"Yes, very much";"Yes";"Somewhat more";"Professor / Lecturer / Coach";"3-5";"Yes";"No";"No";"No";"No";"No";"I do not work at a company";"";"";"1-5"
"I heard about it, but am not really familiar with its details.";"No, not really";"No";"No";"Yes";"Yes";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"0";"No";"No";"Yes";"No";"Yes";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"SonarQube";"none";"No";"";"We thought about it, but do not exactly know what to change.";"Yes";"Yes, somewhat";"Somewhat more";"Project Manager";"6-10";"N/A";"N/A";"N/A";"N/A";"N/A";"Yes";"1001-5000";"Software & IT Services";"";"6-10"
"I heard about it, but am not really familiar with its details.";"Yes, somewhat";"No";"No";"Yes";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"0";"No";"No";"No";"Yes";"No";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"FindBugs";"LoC";"No";"";"We do not know. We never thought about changing something.";"Yes, somewhat";"Yes, somewhat";"Somewhat more";"Consultant";"3-5";"N/A";"N/A";"N/A";"N/A";"N/A";"Yes";"26-100";"Software & IT Services";"";"1-5"
"I heard about it, but am not really familiar with its details.";"Yes, somewhat";"No";"Yes";"Yes";"Yes";"No";"Yes";"No";"No";"No";"Yes";"Yes";"No";"No";"0";"No";"Yes";"No";"Yes";"No";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"Asana, Subversion";"";"No";"";"We thought about it, but do not exactly know what to change.";"Yes, somewhat";"No, not at all";"A lot more";"Project Manager";"6-10";"Yes";"No";"Yes";"No";"No";"No";"26-100";"Software & IT Services";"";"6-10"
"I did not hear about it before.";"No, not at all";"Yes";"No";"No";"Yes";"No";"No";"Yes";"No";"Yes";"No";"Yes";"No";"No";"0";"Yes";"No";"No";"No";"Yes";"We somewhat implicitly address maintainability via e.g. basic refactoring and/or some team-wide standardization.";"Generic development guidelines, no particular software";"n/a";"Yes, to some degree";"Process / Tools: Generic development architecture, interfaces, modularity";"";"Yes";"No, not really";"A lot more";"Software Architect / Technical Designer";"3-5";"Yes";"Yes";"No";"Yes";"Yes";"No";"1001-5000";"Software & IT Services";"";"21-50"
